OBJECTID,SiteID,Location,Year,Count,Historical_annual_data,NO2 2024,Annual mean NO2 concentration μg m3,Survey,Current_,x,y
1156,472,Jamiesons Autos,2017,12,"2010: 52.4, 2011: 47.4, 2012: 46.5, 2013: 48.2, 2014: 45.2, 2015: 40, 2016: 45.3, 2017: 41.6, 2018: 37.3, 2019: 33.7, 2020: 26.2, 2021: 28.7, 2022: 29, 2023: 25.8, 2024: 25.7",,41.6,USA 2009,Yes,-289697.065688815,6699318.40485888
1157,483,Avonmouth Road - Lampost (19) Opposite Hse No 37,2017,12,"2012: 38.5, 2013: 36.5, 2014: 37.2, 2015: 37.1, 2016: 38.1, 2017: 36.3",,36.3,Avonmouth Road,No,-298989.311077002,6709601.71027226
1158,495,On green fence surrounding Western Power substation (?) adjacent to No.1 Dorian Road,2017,11,"2015: 21.7, 2016: 25.8, 2017: 24.8",,24.8,Horfield Roadside,No,-287969.961992111,6709062.72972397
1159,499,Temple Way Nox site,2017,16,"2017: 38.5, 2018: 43.2, 2019: 33.6, 2020: 26, 2021: 31.1, 2022: 30.9, 2023: 26.2, 2024: 23.9",,38.5,QAQC,Yes,-287648.349706948,6702703.01974867
1160,474,Martial Arts West Street,2017,12,"2010: 45.1, 2011: 39.7, 2012: 37.9, 2013: 39.1, 2014: 35.8, 2015: 38.5, 2016: 38.7, 2017: 35.8, 2018: 31.9, 2019: 29.1, 2020: 22.9",,35.8,USA 2009,No,-290069.368921615,6698825.58328779
1161,479,cycle sign lamppost,2017,12,"2010: 34.8, 2011: 32.6, 2012: 33.4, 2013: 33, 2014: 32.2, 2015: 31.5, 2016: 30.3, 2017: 30.1",,30.1,Callington Road,No,-283775.919971872,6698013.1334356
1162,487,Junction 3 Millpond Street,2017,12,"2013: 55.6, 2014: 47.4, 2015: 46.2, 2016: 45.7, 2017: 44.5, 2018: 41.9, 2019: 35.1, 2020: 27.7, 2021: 29.6, 2022: 36.8, 2023: 27.8, 2024: 24.1",,44.5,JCT3,Yes,-286505.090102087,6704231.89916475
1163,492,On 1 way sign at bottom of Wellington Hill,2017,12,"2015: 37.6, 2016: 40.3, 2017: 36.8, 2018: 34.8, 2019: 31.3, 2020: 25.2, 2021: 26.4, 2022: 27.5, 2023: 25.6, 2024: 23.7",,36.8,Horfield Roadside,Yes,-287813.3061196,6707917.80129038
1164,496,385 Church Road Redfield,2017,12,"2014: 42, 2015: 39.3, 2016: 41.1, 2017: 41.1, 2018: 39.2, 2019: 33, 2020: 25, 2021: 25.9, 2022: 26.7, 2023: 22.9, 2024: 20.2",,41.1,Post Stage Four,Yes,-283206.866231794,6703121.26962694
1165,489,Avonmouth Road Outside No 12,2017,11,"2014: 34.5, 2015: 36.9, 2016: 38.6, 2017: 37.7, 2018: 35.5, 2019: 28.6, 2020: 22.8",,37.7,Avonmouth Road,No,-298747.205725735,6709433.55872731
1166,488,Junction 3 Easton Way,2017,11,"2013: 49.8, 2014: 40.1, 2015: 42.7, 2016: 42.5, 2017: 39.8",,39.8,JCT3,No,-286565.52996909,6704173.58231094
1167,486,Barracks's Lane - Telegraph Pole No 6. End of Lane Left Hand Side,2017,12,"2012: 41.5, 2013: 38.2, 2014: 36.6, 2015: 40.8, 2016: 41.7, 2017: 39.2",,39.2,Avonmouth Road,No,-298508.50916054,6709803.9731087
1168,422,North St/Langton Park T junction,2017,12,"2010: 43.4, 2011: 41.2, 2012: 39.8, 2013: 39, 2014: 34.1, 2015: 35, 2016: 39.4, 2017: 36.5, 2018: 34.1, 2019: 27.4, 2020: 23.4",,36.5,Post DA Facades,No,-289793.129417391,6699704.60992124
1169,311,Give Way sign  Chesterfield Rd \ Ashley Down Road St. Andrews,2017,12,"2010: 49.2, 2011: 45.3, 2012: 46.7, 2013: 49.5, 2014: 43.3, 2015: 44, 2016: 46.2, 2017: 46.4",,46.4,Post Stage Four,No,-287421.363948839,6705397.63750124
1170,307,Lamppost     Glenfrome Road \ Muller Road Horfield,2017,10,"2010: 46.6, 2011: 41.5, 2012: 39.5, 2013: 39.8, 2014: 38.4, 2015: 36.6, 2016: 37.4, 2017: 32.6, 2018: 37.3, 2019: 30.7, 2020: 24.6, 2021: 27.5, 2022: 26.8, 2023: 24.5, 2024: 21.6",,32.6,Post Stage Four,Yes,-285709.878701319,6705846.59411472
1171,261,Stapleton Road Heath Street,2017,11,"2010: 55.8, 2011: 48.2, 2012: 53, 2013: 55.8, 2014: 50.6, 2015: 51.3, 2016: 53.1, 2017: 52.4, 2018: 51, 2019: 41.5, 2020: 34.7, 2021: 39.1, 2022: 39.3, 2023: 32, 2024: 33",,52.4,Roadside Stage 4 (DT),Yes,-285135.992821959,6705418.74590538
1172,105,Victoria Park,2017,11,"2010: 26, 2011: 19.9, 2012: 20.4, 2013: 21.2, 2014: 17.2, 2015: 18.2, 2016: 20.8, 2017: 19.1",,19.1,Wards (DT),No,-288303.274890422,6699464.66471172
1173,23,Old Market,2017,5,"2010: 56.3, 2011: 52.3, 2012: 47.9, 2013: 50.6, 2014: 44.2, 2015: 45.3, 2016: 47.2, 2017: 46.7",,46.7,Roadside (DT),No,-287592.734480822,6702358.09069367
1174,20,Newfoundland Way,2017,10,"2010: 79, 2011: 73.2, 2012: 74.7, 2013: 64.3, 2014: 65.3, 2015: 58.7, 2016: 55.5, 2017: 61.2, 2018: 50.1, 2019: 42.4",,61.2,Roadside (DT),No,-287579.43244068,6703103.57954815
1175,18,Hillcrest,2017,12,"2010: 26.5, 2011: 20.3, 2012: 21.3, 2013: 22.3, 2014: 18.1, 2015: 17.8, 2016: 20.2, 2017: 18.4",,18.4,Roadside (DT),No,-285734.537313679,6697418.60705167
1176,9,B.R.I.,2017,12,"2010: 65.4, 2011: 58, 2012: 52, 2013: 54, 2014: 49.3, 2015: 48, 2016: 48.8, 2017: 46.5, 2018: 44.7, 2019: 37.8, 2020: 31.7, 2021: 39.3, 2022: 36, 2023: 27.8",,46.5,Roadside (DT),No,-288920.3727828,6702882.30805318
1177,2,Colston Avenue,2017,10,"2010: 79.4, 2011: 78.8, 2012: 66.8, 2013: 68.7, 2014: 67.7, 2015: 69.2, 2016: 66.1, 2017: 63.1, 2018: 58.2, 2019: 53.7, 2020: 36.9, 2021: 40.1, 2022: 40.3, 2023: 39, 2024: 38.4",,63.1,Roadside (DT),Yes,-289075.818144399,6702097.12495681
1178,16,Third Way,2017,12,"2010: 35.1, 2011: 35.8, 2012: 36.4, 2013: 33.3, 2014: 34.6, 2015: 35.9, 2016: 35.7, 2017: 35.2, 2018: 32.6, 2019: 28.7, 2020: 23.2, 2021: 24.9, 2022: 25.8, 2023: 21.5, 2024: 21.5",,35.2,Roadside (DT),No,-299319.725243601,6711147.03571026
1179,14,Red Lion Knowle,2017,9,"2010: 47.9, 2011: 44.1, 2012: 43.2, 2013: 42.2, 2014: 40.4, 2015: 40.1, 2016: 42.3, 2017: 41.1, 2018: 47.6, 2019: 38.7, 2020: 32.4, 2021: 32.7, 2022: 30.3, 2023: 27, 2024: 25.8",,41.1,Roadside (DT),Yes,-285439.186904326,6697740.37180987
1180,413,Wells Rd bus lane sign just below junction with Knowle Rd,2017,12,"2010: 52.2, 2011: 47.1, 2012: 41.4, 2013: 43.7, 2014: 38.4, 2015: 39.3, 2016: 40, 2017: 38.7, 2018: 37.6, 2019: 31.2, 2020: 25.5, 2021: 27.4, 2022: 27.2, 2023: 23.5, 2024: 22.5",,38.7,Post DA Facades,Yes,-286790.024426925,6699701.55784787
1181,429,facade villiers road stapleton road junction,2017,8,"2010: 60.3, 2011: 57.8, 2012: 57.3, 2013: 60.6, 2014: 54.7, 2015: 50.4, 2016: 52.1, 2017: 47.8, 2018: 46.8, 2019: 41.2, 2020: 38.8, 2021: 36.4, 2022: 35.5, 2023: 38, 2024: 35.3",,47.8,Post DA Facades,Yes,-286116.033413056,6703865.40916925
1182,438,A37 Junction w/ Airport Road,2017,33,"2010: 48, 2011: 47.7, 2012: 43.4, 2013: 43.5, 2014: 44, 2015: 43.1, 2016: 43.4, 2017: 43.2, 2018: 36.6, 2019: 31.8, 2020: 27.1, 2021: 29, 2022: 29.4, 2023: 25, 2024: 23.2",,43.2,QAQC,Yes,-285394.401951542,6697329.73212812
1183,439,Parson Street School,2017,35,"2010: 41.9, 2011: 40.9, 2012: 40.9, 2013: 44.7, 2014: 42, 2015: 41, 2016: 43.6, 2017: 37.7, 2018: 37.7, 2019: 31.7, 2020: 25.4, 2021: 28.6, 2022: 27.2, 2023: 24, 2024: 22.4",,37.7,QAQC,Yes,-289982.448521423,6698188.87869929
1184,478,T shirt Shop W. Town Lane,2017,12,"2010: 42.9, 2011: 38.2, 2012: 36.4, 2013: 39.9, 2014: 35.8, 2015: 36.3, 2016: 36.7, 2017: 35.4, 2018: 36.5, 2019: 28.8, 2020: 23.5",,35.4,Callington Road,No,-283497.367453175,6698023.25032835
1185,491,Avonmouth Road Outside No 76,2017,12,"2014: 31.2, 2015: 33.8, 2016: 36.5, 2017: 34.4, 2018: 33.5, 2019: 27.3, 2020: 22",,34.4,Avonmouth Road,No,-298604.550071775,6709267.68975072
1186,485,Avonmouth Road - Telegraph Pole Opposite Hse No 4,2017,12,"2012: 41.2, 2013: 35.7, 2014: 35, 2015: 35.5, 2016: 36.4, 2017: 34",,34,Avonmouth Road,No,-298714.733114574,6709390.45378664
1187,482,Avonmouth Road - Lampost (20) Opposite Number Hse No 45,2017,12,"2012: 35.8, 2013: 36.7, 2014: 35.8, 2015: 35.1, 2016: 36.4, 2017: 33.9",,33.9,Avonmouth Road,No,-299044.204309352,6709641.38886502
1188,462,Millpond School play area,2017,11,"2010: 35.8, 2011: 32.6, 2012: 31.7, 2013: 32.9, 2014: 29.2, 2015: 30.4, 2016: 30.8, 2017: 34.6",,34.6,Millpond School,No,-286278.220554745,6704320.44194323
1189,461,Millpond School Fence,2017,9,"2010: 40.2, 2011: 35.9, 2012: 35.5, 2013: 37.2, 2014: 34.1, 2015: 33.2, 2016: 37, 2017: 30.4, 2018: 33.9, 2019: 26",,30.4,Millpond School,No,-286284.930702286,6704358.95120715
1190,403,Lamp post 48 230 Bath Road,2017,12,"2010: 46.5, 2011: 43.9, 2012: 43.6, 2013: 46.6, 2014: 39.2, 2015: 41.5, 2016: 37.5, 2017: 35.7, 2018: 35.6, 2019: 28.1, 2020: 23.4, 2021: 25.5, 2022: 25.5, 2023: 20.2, 2024: 20.6",,35.7,Post DA Facades,Yes,-286047.399122808,6699977.1677698
1191,305,Lamppost     Sarah Street Redfield,2017,12,"2010: 43.8, 2011: 37.3, 2012: 36, 2013: 37.1, 2014: 34.2, 2015: 33.3, 2016: 35, 2017: 32.9",,32.9,Post Stage Four,No,-285823.421858351,6702704.55720837
1192,300,Facade Haart Estate Agents 755 Fishponds Road Fishponds,2017,10,"2010: 47, 2011: 52.8, 2012: 49.9, 2013: 48.5, 2014: 42.4, 2015: 45.9, 2016: 48.1, 2017: 45.9, 2018: 41.1, 2019: 35.1, 2020: 28.9, 2021: 28.7, 2022: 27.5, 2023: 21.2, 2024: 26.4",,45.9,Post Stage Four,Yes,-281520.287175529,6706769.98297697
1193,242,Parson Street Bedminster Down Road,2017,10,"2010: 80.3, 2011: 75.5, 2012: 73.9, 2013: 75.1, 2014: 56.2, 2015: 61.7, 2016: 68.4, 2017: 56, 2018: 51.1, 2019: 41, 2020: 32.2, 2021: 34.5, 2022: 36.6, 2023: 29.8, 2024: 28",,56,Roadside Stage 4 (DT),Yes,-290831.882346175,6697891.20245718
1194,155,Jacobs Wells Road South,2017,12,"2010: 47.4, 2011: 52.4, 2012: 46.9, 2013: 48.5, 2014: 38.8, 2015: 39.9, 2016: 43.1, 2017: 37.9, 2018: 40.1, 2019: 31.1, 2020: 22.9, 2021: 25.5, 2022: 24.2, 2023: 17.5, 2024: 15.2",,37.9,harbourside (DT),Yes,-290337.435875919,6701608.05267219
1195,17,Anglesea Place,2017,12,"2010: 40.3, 2011: 21, 2012: 21.3, 2013: 25, 2014: 21.2, 2015: 20, 2016: 21.9, 2017: 19.7",,19.7,Roadside (DT),No,-291267.721488841,6704602.80656711
1196,11,Whitefriars,2017,12,"2010: 60.8, 2011: 56.1, 2012: 53.2, 2013: 56.3, 2014: 48.8, 2015: 51.4, 2016: 51.7, 2017: 49.2, 2018: 48.1, 2019: 41.1, 2020: 31.1, 2021: 35, 2022: 35.3, 2023: 29.6, 2024: 29.4",,49.2,Roadside (DT),Yes,-288783.750004099,6702631.21072234
1197,10,Bath Road,2017,11,"2010: 68.2, 2011: 62.3, 2012: 58.4, 2013: 61.5, 2014: 50.1, 2015: 49.3, 2016: 54.5, 2017: 51.6, 2018: 51.5, 2019: 42.2, 2020: 33.6, 2021: 36.8, 2022: 35.9, 2023: 30.7, 2024: 30.3",,51.6,Roadside (DT),Yes,-284908.842563162,6699589.32161916
1198,125,York Road,2017,7,"2010: 72.8, 2011: 66.5, 2012: 63, 2013: 59.6, 2014: 53.3, 2015: 52.9, 2016: 52.9, 2017: 56, 2018: 50.3, 2019: 45.2, 2020: 35.6, 2021: 35.8, 2022: 33.6, 2023: 24.3, 2024: 19.7",,56,redcliffe way templegate (DT),Yes,-288122.962480237,6700347.74496852
1199,19,Conham Vale,2017,12,"2010: 24.4, 2011: 21.5, 2012: 22, 2013: 27.2, 2014: 20.8, 2015: 19.7, 2016: 22.4, 2017: 21.3",,21.3,Roadside (DT),No,-282187.941736831,6700722.60876012
1200,5,Bedminster Parade,2017,11,"2010: 66.6, 2011: 57.2, 2012: 54.6, 2013: 58.7, 2014: 47.6, 2015: 50.9, 2016: 51.3, 2017: 45.8, 2018: 45.8, 2019: 39.9, 2020: 31.6, 2021: 41, 2022: 37.9, 2023: 33.5, 2024: 34.9",,45.8,Roadside (DT),Yes,-288906.606435902,6699999.33324423
1201,6,Church Road,2017,12,"2010: 40.9, 2011: 35.2, 2012: 33.6, 2013: 33.5, 2014: 30.5, 2015: 31.3, 2016: 33.7, 2017: 32.3",,32.3,Roadside (DT),No,-284862.629972362,6702776.2252846
1202,12,Galleries,2017,10,"2010: 58.2, 2011: 55.2, 2012: 50.8, 2013: 56.7, 2014: 51.3, 2015: 52.5, 2016: 52.8, 2017: 56.6, 2018: 57.5, 2019: 51.8, 2020: 41.9, 2021: 46.5, 2022: 50.2, 2023: 60.2, 2024: 35.3",,56.6,Roadside (DT),Yes,-288254.965440197,6702425.05893974
1203,147,Anchor Road,2017,4,"2010: 65.6, 2011: 66.4, 2012: 60.6, 2013: 60.2, 2014: 57, 2015: 60.1, 2016: 56.9, 2017: 61.5, 2018: 56.6, 2019: 50.9, 2020: 39.4, 2021: 43.3, 2022: 45.5, 2023: 39.5, 2024: 36.3",,61.5,harbourside (DT),Yes,-289254.257300207,6701581.66334233
1204,156,Jacobs Wells road opp Clifton hill,2017,12,"2010: 56.1, 2011: 49.1, 2012: 45.8, 2013: 44.2, 2014: 38, 2015: 38.9, 2016: 41.2, 2017: 39.3, 2018: 36.2, 2019: 30.5, 2020: 20.7, 2021: 24.9, 2022: 25.9, 2023: 19.1, 2024: 17.7",,39.3,harbourside (DT),Yes,-290548.152178807,6702096.20398506
1205,161,Bishop Road,2017,12,"2010: 52.9, 2011: 47.4, 2012: 41.6, 2013: 41.8, 2014: 41.3, 2015: 43.7, 2016: 41.7, 2017: 38.8, 2018: 38, 2019: 31.7, 2020: 25.3, 2021: 27.4, 2022: 26, 2023: 25.6, 2024: 26.5",,38.8,gloucester road showcase route (DT),Yes,-288271.484099739,6706477.18610887
1206,254,Merchants Road Hotwells,2017,10,"2010: 47.1, 2011: 55.6, 2012: 55.3, 2013: 53.2, 2014: 51.5, 2015: 54.4, 2016: 51.8, 2017: 52.2, 2018: 49.4, 2019: 40.5, 2020: 31.1, 2021: 34.6, 2022: 33, 2023: 24.7, 2024: 23.9",,52.2,Roadside Stage 4 (DT),Yes,-291486.964634959,6701142.24890875
1207,295,Lamppost   16 Ashley Road St. Pauls,2017,12,"2010: 58.8, 2011: 60.7, 2012: 57.8, 2013: 57.2, 2014: 58.6, 2015: 63.3, 2016: 55.7, 2017: 65.1, 2018: 59.6, 2019: 48.1, 2020: 37.2, 2021: 44.5, 2022: 41, 2023: 34, 2024: 34.8",,65.1,Post Stage Four,Yes,-287033.740015952,6704208.4476767
1208,397,facade avonmouth road underpass - house to SE,2017,12,"2010: 38.4, 2011: 35.9, 2012: 34, 2013: 34.4, 2014: 28.5, 2015: 33, 2016: 33.8, 2017: 33.4",,33.4,Post DA Facades,No,-298837.117054549,6709445.57805865
1209,398,Avonmouth Rd No 31 on facia,2017,12,"2010: 40.1, 2011: 34.9, 2012: 31.8, 2013: 34, 2014: 31.9, 2015: 30.1, 2016: 31.8, 2017: 31.2",,31.2,Post DA Facades,No,-298961.49662735,6709542.48396699
1210,407,lamppost sussex place,2017,11,"2010: 53.9, 2011: 56.5, 2012: 47.3, 2013: 47.1, 2014: 43.9, 2015: 43.1, 2016: 48.7, 2017: 44.6, 2018: 46.7, 2019: 37.3, 2020: 26.7, 2021: 30.2, 2022: 29.5, 2023: 24.8",,44.6,Post DA Facades,No,-287169.041541866,6704295.74454928
1211,418,Bedminster Down Rd lamppost between Ashton Motors & Plough PH,2017,12,"2010: 92.9, 2011: 90.5, 2012: 81.8, 2013: 74, 2014: 67.7, 2015: 63.7, 2016: 69.3, 2017: 58.4, 2018: 55.7, 2019: 51.1, 2020: 40.2, 2021: 45.9, 2022: 44.1, 2023: 32.8, 2024: 31.7",,58.4,Post DA Facades,Yes,-290471.62510202,6698281.14621008
1212,436,Shiners Garage,2017,11,"2010: 44.7, 2011: 40.9, 2012: 39.6, 2013: 40.1, 2014: 38.2, 2015: 37.9, 2016: 47.7, 2017: 45.8, 2018: 50.6, 2019: 42, 2020: 29.2, 2021: 31.2, 2022: 30.6, 2023: 24.4, 2024: 26.2",,45.8,Roadside,Yes,-285259.212047081,6702675.18810556
1213,473,B&G Snax West St,2017,12,"2010: 49.2, 2011: 43.1, 2012: 44.6, 2013: 43.5, 2014: 40.7, 2015: 49.6, 2016: 57.1, 2017: 40.1, 2018: 44, 2019: 42.4, 2020: 40, 2021: 28.4, 2022: 28.4, 2023: 26.1, 2024: 25.7",,40.1,USA 2009,Yes,-289888.728777705,6699059.90410014
1214,490,Avon School Barrack's Lane,2017,12,"2014: 29.1, 2015: 31.9, 2016: 32.4, 2017: 31, 2018: 26.8, 2019: 22.4, 2020: 18.6",,31,Avonmouth Road,No,-298669.251790211,6709500.2063584
1215,494,Muller Road - Adjacent to Darnley Avenue,2017,12,"2015: 37.5, 2016: 43.3, 2017: 39.5, 2018: 38.7, 2019: 32, 2020: 25.1, 2021: 25, 2022: 26.4, 2023: 22.5, 2024: 21.6",,39.5,Horfield Roadside,Yes,-287635.002115621,6708277.69693354
1216,497,20 Ashley Road,2017,8,"2014: 49.3, 2015: 41.8, 2016: 43.2, 2017: 42.4, 2018: 38, 2019: 29.1, 2020: 24.6, 2021: 27.1, 2022: 24.7, 2023: 24.8, 2024: 22.5",,42.4,Post DA Facades,Yes,-288064.948651647,6703906.18922384
1217,493,No 67 Filton Avenue on wall facing Muller Rd,2017,12,"2015: 36.2, 2016: 41.5, 2017: 41.9, 2018: 41.8, 2019: 37, 2020: 29.5, 2021: 31.8, 2022: 31.2, 2023: 27.4, 2024: 25.8",,41.9,Horfield Roadside,Yes,-287443.0455096,6708131.34018296
1218,470,Victoria Park Primary,2017,12,"2010: 43.3, 2011: 39.4, 2012: 39.6, 2013: 37.8, 2014: 35, 2015: 38.7, 2016: 39.4, 2017: 35.9, 2018: 37.9, 2019: 29.4, 2020: 25.1, 2021: 26.8, 2022: 28.3, 2023: 24.2, 2024: 21.7",,35.9,USA 2009,Yes,-288112.730275877,6698870.47455211
1219,469,Lamppost corner park avenue,2017,12,"2010: 46.2, 2011: 40.4, 2012: 39.4, 2013: 38.5, 2014: 35.8, 2015: 35.3, 2016: 39.2, 2017: 34.6, 2018: 36.2, 2019: 27.4, 2020: 23.4",,34.6,USA 2009,No,-287688.258760981,6699061.74717359
1220,423,facade BRI children's,2017,12,"2010: 53, 2011: 53.2, 2012: 50.9, 2013: 46.3, 2014: 41.8, 2015: 44.4, 2016: 43.5, 2017: 45, 2018: 42.3, 2019: 35.2, 2020: 27.3, 2021: 29.5, 2022: 29.1, 2023: 22.2, 2024: 20.9",,45,Post DA Facades,Yes,-289088.725742146,6702699.40590324
1221,417,St John's Lane No 26 lamppost 15 (just past roundabout),2017,12,"2010: 51.3, 2011: 45.6, 2012: 44.1, 2013: 42.1, 2014: 40.8, 2015: 43.6, 2016: 43.4, 2017: 35.2, 2018: 36, 2019: 31, 2020: 26.3, 2021: 27.9, 2022: 27, 2023: 22.7, 2024: 20.9",,35.2,Post DA Facades,Yes,-287442.243890537,6699543.83315549
1222,474,Martial Arts West Street,2016,12,"2010: 45.1, 2011: 39.7, 2012: 37.9, 2013: 39.1, 2014: 35.8, 2015: 38.5, 2016: 38.7, 2017: 35.8, 2018: 31.9, 2019: 29.1, 2020: 22.9",,38.7,USA 2009,No,-290069.368921615,6698825.58328779
1223,473,B&G Snax West St,2016,12,"2010: 49.2, 2011: 43.1, 2012: 44.6, 2013: 43.5, 2014: 40.7, 2015: 49.6, 2016: 57.1, 2017: 40.1, 2018: 44, 2019: 42.4, 2020: 40, 2021: 28.4, 2022: 28.4, 2023: 26.1, 2024: 25.7",,57.1,USA 2009,Yes,-289888.728777705,6699059.90410014
1224,439,Parson Street School,2016,36,"2010: 41.9, 2011: 40.9, 2012: 40.9, 2013: 44.7, 2014: 42, 2015: 41, 2016: 43.6, 2017: 37.7, 2018: 37.7, 2019: 31.7, 2020: 25.4, 2021: 28.6, 2022: 27.2, 2023: 24, 2024: 22.4",,43.6,QAQC,Yes,-289982.448521423,6698188.87869929
1225,441,Avon Probation Service,2016,7,"2010: 58.7, 2011: 57.8, 2012: 55, 2013: 56.1, 2014: 50.2, 2015: 45.8, 2016: 45.1",,45.1,QAQC,No,-287455.135573451,6703189.71654543
1226,438,A37 Junction w/ Airport Road,2016,36,"2010: 48, 2011: 47.7, 2012: 43.4, 2013: 43.5, 2014: 44, 2015: 43.1, 2016: 43.4, 2017: 43.2, 2018: 36.6, 2019: 31.8, 2020: 27.1, 2021: 29, 2022: 29.4, 2023: 25, 2024: 23.2",,43.4,QAQC,Yes,-285394.401951542,6697329.73212812
1227,493,No 67 Filton Avenue on wall facing Muller Rd,2016,12,"2015: 36.2, 2016: 41.5, 2017: 41.9, 2018: 41.8, 2019: 37, 2020: 29.5, 2021: 31.8, 2022: 31.2, 2023: 27.4, 2024: 25.8",,41.5,Horfield Roadside,Yes,-287443.0455096,6708131.34018296
1228,105,Victoria Park,2016,12,"2010: 26, 2011: 19.9, 2012: 20.4, 2013: 21.2, 2014: 17.2, 2015: 18.2, 2016: 20.8, 2017: 19.1",,20.8,Wards (DT),No,-288303.274890422,6699464.66471172
1229,99,Greville Smyth Park,2016,12,"2010: 32.7, 2011: 28.1, 2012: 30, 2013: 33.1, 2014: 27.2, 2015: 28.7, 2016: 31.6, 2017: 28.5",,31.6,Wards (DT),No,-291506.54674882,6699854.07592476
1230,81,Eastville Park,2016,10,"2010: 22.7, 2011: 19.2, 2012: 21, 2013: 18.2, 2014: 17.5, 2015: 17.9, 2016: 17, 2017: 18.8",,17,Wards (DT),No,-284251.786073126,6705912.41811108
1231,7,St. Andrew's Rd,2016,12,"2010: 30.2, 2011: 27.7, 2012: 27.9, 2013: 27.7, 2014: 28, 2015: 26.8, 2016: 28.6, 2017: 26",,28.6,Roadside (DT),No,-300244.658919802,6710417.86486197
1232,466,Savanna coffee drainpipe,2016,12,"2010: 41.1, 2011: 39.7, 2012: 39.6, 2013: 41.1, 2014: 38, 2015: 34, 2016: 35.8, 2017: 33.4, 2018: 33.2, 2019: 27.4, 2020: 20.8",,35.8,USA 2009,No,-290918.706654091,6699851.00397371
1233,478,T shirt Shop W. Town Lane,2016,12,"2010: 42.9, 2011: 38.2, 2012: 36.4, 2013: 39.9, 2014: 35.8, 2015: 36.3, 2016: 36.7, 2017: 35.4, 2018: 36.5, 2019: 28.8, 2020: 23.5",,36.7,Callington Road,No,-283497.367453175,6698023.25032835
1234,482,Avonmouth Road - Lampost (20) Opposite Number Hse No 45,2016,12,"2012: 35.8, 2013: 36.7, 2014: 35.8, 2015: 35.1, 2016: 36.4, 2017: 33.9",,36.4,Avonmouth Road,No,-299044.204309352,6709641.38886502
1235,483,Avonmouth Road - Lampost (19) Opposite Hse No 37,2016,12,"2012: 38.5, 2013: 36.5, 2014: 37.2, 2015: 37.1, 2016: 38.1, 2017: 36.3",,38.1,Avonmouth Road,No,-298989.311077002,6709601.71027226
1236,485,Avonmouth Road - Telegraph Pole Opposite Hse No 4,2016,12,"2012: 41.2, 2013: 35.7, 2014: 35, 2015: 35.5, 2016: 36.4, 2017: 34",,36.4,Avonmouth Road,No,-298714.733114574,6709390.45378664
1237,492,On 1 way sign at bottom of Wellington Hill,2016,12,"2015: 37.6, 2016: 40.3, 2017: 36.8, 2018: 34.8, 2019: 31.3, 2020: 25.2, 2021: 26.4, 2022: 27.5, 2023: 25.6, 2024: 23.7",,40.3,Horfield Roadside,Yes,-287813.3061196,6707917.80129038
1238,498,Hungerford Road,2016,6,2016: 19,,19,Hungerford Road,No,-283195.761818584,6697083.12369653
1239,407,lamppost sussex place,2016,12,"2010: 53.9, 2011: 56.5, 2012: 47.3, 2013: 47.1, 2014: 43.9, 2015: 43.1, 2016: 48.7, 2017: 44.6, 2018: 46.7, 2019: 37.3, 2020: 26.7, 2021: 30.2, 2022: 29.5, 2023: 24.8",,48.7,Post DA Facades,No,-287169.041541866,6704295.74454928
1240,436,Shiners Garage,2016,11,"2010: 44.7, 2011: 40.9, 2012: 39.6, 2013: 40.1, 2014: 38.2, 2015: 37.9, 2016: 47.7, 2017: 45.8, 2018: 50.6, 2019: 42, 2020: 29.2, 2021: 31.2, 2022: 30.6, 2023: 24.4, 2024: 26.2",,47.7,Roadside,Yes,-285259.212047081,6702675.18810556
1241,461,Millpond School Fence,2016,11,"2010: 40.2, 2011: 35.9, 2012: 35.5, 2013: 37.2, 2014: 34.1, 2015: 33.2, 2016: 37, 2017: 30.4, 2018: 33.9, 2019: 26",,37,Millpond School,No,-286284.930702286,6704358.95120715
1242,113,Victoria Street,2016,12,"2010: 53.9, 2011: 55.2, 2012: 51.8, 2013: 48.4, 2014: 48.8, 2015: 47.5, 2016: 45.5, 2017: 49.9, 2018: 40.5, 2019: 37.4, 2020: 29.9, 2021: 27.8, 2022: 32, 2023: 29.4, 2024: 28.3",,45.5,redcliffe way templegate (DT),No,-288062.502763533,6701599.37177948
1243,22,Stokes Croft,2016,12,"2010: 68.2, 2011: 58.7, 2012: 55.3, 2013: 57.7, 2014: 55.3, 2015: 49.7, 2016: 54.4, 2017: 52.5, 2018: 51, 2019: 44.3, 2020: 34.3, 2021: 37.5, 2022: 36.7, 2023: 35.9, 2024: 34.4",,54.4,Roadside (DT),Yes,-288316.547788833,6703508.93195795
1244,14,Red Lion Knowle,2016,12,"2010: 47.9, 2011: 44.1, 2012: 43.2, 2013: 42.2, 2014: 40.4, 2015: 40.1, 2016: 42.3, 2017: 41.1, 2018: 47.6, 2019: 38.7, 2020: 32.4, 2021: 32.7, 2022: 30.3, 2023: 27, 2024: 25.8",,42.3,Roadside (DT),Yes,-285439.186904326,6697740.37180987
